turnings:	1583						
{	10212	3031	10212	30303031	30313032	20	}
{	10213	3032	10213	30313032	30323033	20	}
{	10214	3033	10214	30323033	30333034	20	}
{	10215	3034	10215	30333034	30343035	20	}
{	10216	3035	10216	30343035	30353036	20	}
{	10217	3036	10217	30353036	30363037	20	}
{	10218	3037	10218	30363037	30373038	20	}
{	10219	3037	10219	30393037	30373036	20	}
{	10220	3036	10220	30373036	30363035	20	}
{	10221	3035	10221	30363035	30353034	20	}
{	10222	3034	10222	30353034	30343033	20	}
{	10223	3033	10223	30343033	30333032	20	}
{	10224	3032	10224	30333032	30323031	20	}
{	10225	3031	10225	30323031	30313030	20	}
{	10226	3030	10226	30313030	30303029	20	}
{	10227	3029	10227	30303029	30293028	20	}
{	10228	3028	10228	30293028	30283027	20	}
{	10229	3027	10229	30283027	30273026	20	}
{	10230	3026	10230	30273026	30263025	20	}
{	10231	3025	10231	30263025	30253024	20	}
{	10232	3024	10232	30253024	30243023	20	}
{	10233	3023	10233	30243023	30233022	20	}
{	10234	3022	10234	30233022	30223021	20	}
{	10235	3021	10235	30223021	30213020	20	}
{	10236	3020	10236	30213020	30203019	20	}
{	10237	3019	10237	30203019	30193018	20	}
{	10238	3018	10238	30193018	30182023	20	}
{	10239	2023	10239	30182023	20232022	20	}
{	10240	2022	10240	20232022	20223040	20	}
{	10241	3040	10241	20223040	30402020	20	}
{	10242	2020	10242	30402020	20202019	20	}
{	10243	2015	10243	20162015	20153016	20	}
{	10244	3016	10244	20153016	30163015	20	}
{	10245	3015	10245	30163015	30153014	20	}
{	10246	3014	10246	30153014	30143013	20	}
{	10247	3013	10247	30143013	30133012	20	}
{	10248	3012	10248	30133012	30123011	20	}
{	10249	3011	10249	30123011	30113010	20	}
{	10250	3010	10250	30113010	30103009	20	}
{	10251	3009	10251	30103009	30093008	20	}
{	10252	3008	10252	30093008	30083007	20	}
{	10253	3007	10253	30083007	30073006	20	}
{	10254	3006	10254	30073006	30063005	20	}
{	10255	3005	10255	30063005	30053004	20	}
{	10256	3004	10256	30053004	30043003	20	}
{	10257	3003	10257	30043003	30033002	20	}
{	10258	3002	10258	30033002	30023001	20	}
{	10259	3001	10259	30023001	30013041	20	}
{	10260	3007	10260	43003007	30073008	20	}
{	10261	2021	10261	20202021	20214301	20	}
{	10262	2037	10262	43022037	20372020	20	}
{	10263	3007	10263	30083007	30074303	20	}
{	10264	4001	10264	40004001	40014002	20	}
{	10265	4002	10265	40014002	40024003	20	}
{	10266	4003	10266	40024003	40034004	20	}
{	10267	4004	10267	40034004	40044005	20	}
{	10268	4005	10268	40044005	40054006	20	}
{	10269	4006	10269	40054006	40064007	20	}
{	10270	4007	10270	40064007	40074008	20	}
{	10271	4008	10271	40074008	40084009	20	}
{	10272	4009	10272	40084009	40094010	20	}
{	10273	4010	10273	40094010	40102013	20	}
{	10274	2013	10274	40102013	20132014	20	}
{	10275	3028	10275	30273028	30284011	20	}
{	10276	4011	10276	30284011	40114012	20	}
{	10277	4012	10277	40114012	40124013	20	}
{	10278	4013	10278	40124013	40134014	20	}
{	10279	4013	10279	40154013	40134012	20	}
{	10280	4012	10280	40134012	40124011	20	}
{	10281	4011	10281	40124011	40113028	20	}
{	10282	3028	10282	40113028	30283027	20	}
{	10283	2013	10283	20142013	20134010	20	}
{	10284	4010	10284	20134010	40104009	20	}
{	10285	4009	10285	40104009	40094008	20	}
{	10286	4008	10286	40094008	40084007	20	}
{	10287	4007	10287	40084007	40074006	20	}
{	10288	4006	10288	40074006	40064005	20	}
{	10289	4005	10289	40064005	40054004	20	}
{	10290	4004	10290	40054004	40044003	20	}
{	10291	4003	10291	40044003	40034002	20	}
{	10292	4002	10292	40034002	40024001	20	}
{	10293	4001	10293	40024001	40014016	20	}
{	10294	2014	10294	44002014	20142015	20	}
{	10295	2014	10295	20152014	20144401	20	}
{	10296	4007	10296	60004007	40074008	20	}
