servers:	1634								
{	10273	3	59.180	36.017	47	}			
{	10274	4	1.491	18.008	70	}			
{	10275	4	1.391	26.971	49	}			
{	10276	4	1.535	28.230	92	}			
{	10277	4	1.395	29.746	51	}			
{	10278	4	1.459	5.464	48	}			
{	10279	0	0.000	0.000	0	}			
{	10280	3	71.624	43.626	51	}			
{	10281	4	1.415	20.482	51	}			
{	10282	4	1.523	35.762	90	}			
{	10283	4	1.419	20.519	50	}			
{	10284	4	1.463	28.788	65	}			
{	10285	4	1.382	25.031	48	}			
{	10286	3	59.855	36.421	48	}			
{	10287	3	98.687	59.972	82	}			
{	10288	4	1.450	25.984	61	}			
{	10289	4	1.437	33.597	61	}			
{	10290	4	1.287	24.853	32	}			
{	10291	4	1.248	41.970	29	}			
{	10292	3	67.025	40.764	55	}			
{	10293	4	1.422	24.854	56	}			
{	10294	0	0.000	0.000	0	}			
{	10295	4	1.351	13.012	37	}			
{	10296	0	0.000	0.000	0	}			
{	10297	3	59.180	36.017	47	}			
{	10298	3	18.954	11.525	16	}			
{	10299	3	52.142	31.764	39	}			
{	10300	4	1.470	19.793	62	}			
{	10301	4	1.329	16.187	33	}			
{	10302	3	61.895	38.013	44	}			
{	10303	3	40.066	24.391	32	}			
{	10304	4	1.410	11.263	46	}			
{	10305	4	1.337	20.281	35	}			
{	10306	4	1.223	19.014	24	}			
{	10307	3	66.129	40.383	50	}			
{	10308	3	44.193	26.890	37	}			
{	10309	4	1.347	19.524	37	}			
{	10310	3	40.107	24.424	33	}			
{	10311	4	1.296	19.136	29	}			
{	10312	3	25.246	15.420	18	}			
{	10313	4	1.198	16.987	21	}			
{	10314	4	1.357	25.056	42	}			
{	10315	3	80.623	49.041	63	}			
{	10316	4	1.465	11.647	58	}			
{	10317	3	56.321	34.270	47	}			
{	10318	4	1.288	15.092	29	}			
{	10319	0	0.000	0.000	0	}			
{	10320	4	1.342	20.374	35	}			
{	10321	4	1.420	22.912	53	}			
{	10322	4	1.503	8.662	62	}			
{	10323	3	112.226	68.656	76	}			
{	10324	4	1.368	37.146	45	}			
{	10325	4	1.091	16.352	15	}			
{	10326	4	1.127	17.826	17	}			
{	10327	4	1.341	25.126	39	}			
{	10328	4	1.304	20.077	33	}			
{	10329	3	49.425	30.112	41	}			
{	10330	4	1.332	21.283	38	}			
{	10331	3	58.360	35.508	46	}			
{	10332	4	1.364	10.155	40	}			
{	10333	4	1.357	13.666	30	}			
{	10334	4	1.363	17.320	41	}			
{	10335	4	1.318	22.302	34	}			
{	10336	4	1.333	25.396	37	}			
{	10337	4	1.377	20.442	44	}			
{	10338	3	48.152	29.535	33	}			
{	10339	4	1.378	17.458	42	}			
{	10340	4	1.183	24.347	23	}			
{	10341	3	98.687	59.972	82	}			
{	10342	4	1.296	19.136	29	}			
{	10343	2	0.000	0.000	1	}			
{	10344	0	0.000	0.000	0	}			
{	10345	2	0.000	0.000	1	}			
{	10346	4	1.182	16.200	20	}			
{	10347	3	44.412	27.021	35	}			
{	10348	4	1.376	21.776	44	}			
{	10349	4	1.508	19.899	80	}			
{	10350	4	1.422	16.495	54	}			
{	10351	4	1.430	13.912	52	}			
{	10352	3	44.686	27.254	33	}			
{	10353	3	43.851	26.668	37	}			
{	10354	3	40.476	24.664	32	}			
{	10355	3	46.194	28.139	37	}			
{	10356	4	1.437	17.827	52	}			
{	10357	4	0.991	17.827	12	}			
{	10358	3	23.757	14.606	15	}			
{	10359	4	1.363	17.192	37	}			
{	10360	4	1.128	17.192	16	}			
{	10361	4	1.363	17.192	37	}			
{	10362	4	1.020	6.704	10	}			
{	10363	4	1.396	10.985	43	}			
{	10364	2	0.000	0.000	19	}			
{	10365	4	0.390	13.389	3	}			
{	10366	3	22.800	13.911	16	}			
{	10367	3	55.294	33.776	39	}			
{	10368	4	1.513	20.219	73	}			
{	10369	4	1.368	24.365	42	}			
{	10370	4	1.433	26.562	55	}			
{	10371	3	68.337	41.522	58	}			
{	10372	4	1.490	24.331	70	}			
{	10373	3	50.644	30.802	41	}			
{	10374	3	24.231	14.744	19	}			
{	10375	4	1.156	22.115	19	}			
{	10376	3	50.939	30.981	43	}			
{	10377	4	1.325	8.621	27	}			
{	10378	4	1.354	26.544	41	}			
{	10379	3	31.282	19.071	23	}			
{	10380	0	0.000	0.000	0	}			
{	10381	2	0.000	0.000	23	}			
{	10382	3	55.297	33.583	48	}			
{	10383	3	26.233	15.960	21	}			
{	10384	3	53.507	32.560	44	}			
{	10385	4	1.173	18.625	20	}			
{	10386	3	30.586	18.607	25	}			
{	10387	4	1.328	16.099	33	}			
{	10388	3	83.711	50.888	73	}			
{	10389	4	1.466	29.416	65	}			
{	10390	3	68.690	41.761	58	}			
{	10391	3	42.444	25.858	34	}			
{	10392	4	1.482	19.926	65	}			
{	10393	3	93.197	56.791	68	}			
{	10394	3	14.453	8.824	10	}			
{	10395	4	1.111	15.050	15	}			
{	10396	4	1.260	17.022	25	}			
{	10397	3	49.331	30.139	35	}			
{	10398	3	23.240	14.197	17	}			
{	10399	4	1.404	24.618	48	}			
{	10400	4	1.208	24.618	23	}			
{	10401	4	1.427	24.618	53	}			
{	10402	4	1.276	22.920	29	}			
{	10403	2	0.000	0.000	9	}			
{	10404	3	76.413	46.522	61	}			
{	10405	4	1.411	15.746	50	}			
{	10406	3	37.736	22.944	31	}			
{	10407	4	1.295	23.219	34	}			
{	10408	3	25.055	15.244	21	}			
{	10409	4	1.492	22.476	74	}			
{	10410	3	47.411	28.993	36	}			
{	10411	4	1.488	22.633	71	}			
{	10412	4	1.392	18.598	46	}			
{	10413	3	37.402	22.757	32	}			
{	10414	0	0.000	0.000	0	}			
{	10415	4	1.492	22.476	74	}			
