TMV 5 1121000 VST DVNK 23100 23220 68 4
TSP 4 1121000 DVNK DVNK 23220 23220 0 4
TMV 3 1121000 DVNK VKBR 23220 23220 0 1
TSP 2 1121000 VKBR VKBR 23220 23222 0 4
TMV 1 1121000 VKBR LEDN 23222 23400 124 2
TSP 0 1121000 LEDN LEDN 23400 23700 300 2
Train 1221001 LEDN GVC 23100 24060 _ 180 
TSP 0 1221001 LEDN LEDN 23100 23400 300 8
TMV 1 1221001 LEDN VKBR 23400 23460 60 1
TSP 2 1221001 VKBR VKBR 23460 23460 0 1
TMV 3 1221001 VKBR DVNK 23460 23520 23 1
TSP 4 1221001 DVNK DVNK 23520 23520 0 1
TMV 5 1221001 DVNK VST 23520 23580 60 1
TSP 6 1221001 VST VST 23580 23580 0 1
TMV 7 1221001 VST GVM 23580 23760 163 1
TSP 8 1221001 GVM GVM 23760 23760 0 1
TMV 9 1221001 GVM LAA 23760 23880 101 1
TSP 10 1221001 LAA LAA 23880 23882 0 1
TMV 11 1221001 LAA GVC 23882 24060 129 1
TSP 12 1221001 GVC GVC 24060 24240 180 9
Train 1321000 GVC LEDN 24300 25500 _ 180 
TSP 12 1321000 GVC GVC 24300 24480 180 9
TMV 11 1321000 GVC LAA 24480 24600 114 2
TSP 10 1321000 LAA LAA 24600 24600 0 2
TMV 9 1321000 LAA GVM 24600 24720 108 2
TSP 8 1321000 GVM GVM 24720 24720 0 4
TMV 7 1321000 GVM VST 24720 24900 180 1
TSP 6 1321000 VST VST 24900 24900 0 4
TMV 5 1321000 VST DVNK 24900 25020 68 4
TSP 4 1321000 DVNK DVNK 25020 25020 0 4
TMV 3 1321000 DVNK VKBR 25020 25020 0 4
TSP 2 1321000 VKBR VKBR 25020 25020 0 4
TMV 1 1321000 VKBR LEDN 25020 25200 124 2
TSP 0 1321000 LEDN LEDN 25200 25500 300 2
Train 1421001 LEDN GVC 24900 25860 _ 180 
TSP 0 1421001 LEDN LEDN 24900 25200 300 8
TMV 1 1421001 LEDN VKBR 25200 25260 60 1
TSP 2 1421001 VKBR VKBR 25260 25260 0 1
TMV 3 1421001 VKBR DVNK 25260 25320 23 1
TSP 4 1421001 DVNK DVNK 25320 25320 0 1
TMV 5 1421001 DVNK VST 25320 25380 60 1
TSP 6 1421001 VST VST 25380 25380 0 1
TMV 7 1421001 VST GVM 25380 25560 163 1
TSP 8 1421001 GVM GVM 25560 25560 0 1
TMV 9 1421001 GVM LAA 25560 25680 101 3
TSP 10 1421001 LAA LAA 25680 25680 0 1
TMV 11 1421001 LAA GVC 25680 25860 129 2
TSP 12 1421001 GVC GVC 25860 26040 180 10
Train 1122000 DTZ LEDN 24720 26400 _ 180 
TSP 26 1122000 DTZ DTZ 24720 24720 0 1
TMV 38 1122000 DTZ DT 24720 24792 72 1
TSP 22 1122000 DT DT 24792 24840 48 1
TMV 23 1122000 DT NGSFA 24840 24900 60 1
TSP 24 1122000 NGSFA NGSFA 24900 24900 0 1
TMV 39 1122000 NGSFA DTA 24900 24960 47 1
TSP 20 1122000 DTA DTA 24960 24960 0 4
TMV 19 1122000 DTA RSW 24960 25020 54 1
TSP 18 1122000 RSW RSW 25020 25020 0 4
TMV 17 1122000 RSW GVMW 25020 25080 51 4
TSP 16 1122000 GVMW GVMW 25080 25080 0 4
TMV 15 1122000 GVMW GV 25080 25260 147 4
TSP 14 1122000 GV GV 25260 25380 120 5
TMV 41 1122000 GV LAA 25380 25512 119 1
TSP 10 1122000 LAA LAA 25512 25560 48 4
TMV 9 1122000 LAA GVM 25560 25680 112 4
TSP 8 1122000 GVM GVM 25680 25680 0 3
TMV 7 1122000 GVM VST 25680 25800 120 1
TSP 6 1122000 VST VST 25800 25800 0 3
TMV 5 1122000 VST DVNK 25800 25860 60 3
TSP 4 1122000 DVNK DVNK 25860 25860 0 3
TMV 3 1122000 DVNK VKBR 25860 25920 20 1
TSP 2 1122000 VKBR VKBR 25920 25920 0 3
TMV 1 1122000 VKBR LEDN 25920 26100 123 1
TSP 0 1122000 LEDN LEDN 26100 26400 300 4
Train 1222001 LEDN DTZ 24000 25560 _ 180 
TSP 0 1222001 LEDN LEDN 24000 24300 300 6
TMV 1 1222001 LEDN VKBR 24300 24360 60 1
TSP 2 1222001 VKBR VKBR 24360 24360 0 2
TMV 3 1222001 VKBR DVNK 24360 24420 25 1
TSP 4 1222001 DVNK DVNK 24420 24420 0 2
TMV 5 1222001 DVNK VST 24420 24480 60 1
TSP 6 1222001 VST VST 24480 24480 0 2
TMV 7 1222001 VST GVM 24480 24660 161 1
TSP 8 1222001 GVM GVM 24660 24660 0 2
TMV 9 1222001 GVM LAA 24660 24792 89 3
TSP 10 1222001 LAA LAA 24792 24840 48 3
TMV 41 1222001 LAA GV 24840 25020 144 1
TSP 14 1222001 GV GV 25020 25080 60 3
TMV 15 1222001 GV GVMW 25080 25140 60 3
TSP 16 1222001 GVMW GVMW 25140 25140 0 2
TMV 17 1222001 GVMW RSW 25140 25200 52 1
